文件名,样本数量,起始索引,结束索引,平均值,最大值,最小值,标准差,>0.01概率,>0.02概率
2025-05-19T16-18-17Z.csv,2212,0,2211,0.007601717902350815,0.069,0.001,0.0060601579940374566,0.18399638336347196,0.03887884267631103
2025-05-19T16-22-32Z.csv,5552,2212,7763,0.008572046109510088,0.091,0.003,0.0070523326427922445,0.2310878962536023,0.056195965417867436
2025-05-19T16-24-53Z.csv,6748,7764,14511,0.008656194427978662,0.103,0.003,0.0073583291792900605,0.23058684054534678,0.057943094250148194
2025-05-19T16-34-51Z.csv,12628,14512,27139,0.0077738359201773855,0.09,0.003,0.006034811472124102,0.18751979727589485,0.04125752296484004
2025-05-19T16-41-41Z.csv,10795,27140,37934,0.008245761926817974,0.166,0.003,0.006442682056818154,0.21611857341361743,0.04854099119962946
2025-05-19T16-50-55Z.csv,2778,37935,40712,0.008224262059035278,0.098,0.003,0.006634370103338118,0.20914326853851692,0.05075593952483801
2025-05-19T16-59-26Z.csv,3482,40713,44194,0.008608558299827686,0.085,0.003,0.007486950535062228,0.2199885123492246,0.061171740379092475
2025-05-19T17-01-35Z.csv,6516,44195,50710,0.008336556169429098,0.191,0.003,0.007385856225949557,0.2114794352363413,0.05356046654389196
2025-05-19T17-05-27Z.csv,11612,50711,62322,0.008585859455735447,0.146,0.003,0.007297352101831141,0.22683430933517051,0.05709610747502584
2025-05-19T17-11-23Z.csv,4048,62323,66370,0.00865316205533597,0.118,0.003,0.007239232258877439,0.2240612648221344,0.05755928853754941
2025-05-19T17-13-21Z.csv,10761,66371,77131,0.00864678003902983,0.124,0.003,0.00727324124378996,0.23278505715082243,0.05733667874732831
2025-05-19T17-17-57Z.csv,2854,77132,79985,0.007687806587245972,0.091,0.003,0.006436588032428866,0.18220042046250876,0.04414856341976174
2025-05-19T17-23-13Z.csv,8395,79986,88380,0.008238594401429423,0.108,0.001,0.007066172603338976,0.20738534842167958,0.05074449076831447
2025-05-19T17-36-08Z.csv,4758,88381,93138,0.008266078184110971,0.068,0.003,0.006607484322229817,0.21290458175704077,0.05296343001261034
2025-05-19T17-38-31Z.csv,5591,93139,98729,0.008460382758003936,0.112,0.003,0.0075583475726367045,0.213378644249687,0.05616168842783044
2025-05-19T17-40-54Z.csv,2204,98730,100933,0.00849546279491833,0.055,0.003,0.0068490286984099315,0.21370235934664247,0.05716878402903811
2025-05-19T17-42-08Z.csv,6615,100934,107548,0.008039002267573698,0.148,0.002,0.006754495836320247,0.19168556311413454,0.04867724867724868
2025-05-19T17-44-56Z.csv,5407,107549,112955,0.007933974477529129,0.124,0.003,0.006834000069732482,0.1945626040318106,0.04623636027371925
2025-05-19T17-49-14Z.csv,3597,112956,116552,0.00769752571587434,0.079,0.003,0.006099720721074306,0.18793438976925214,0.04031137058659994
2025-05-19T19-40-42Z.csv,12022,116553,128574,0.008285975711196141,0.155,0.003,0.0068648571481129145,0.21310929961736816,0.051156213608384626
2025-05-19T19-49-48Z.csv,2735,128575,131309,0.00840694698354662,0.057,0.003,0.006760671696481438,0.21681901279707497,0.061791590493601466
2025-05-19T19-51-07Z.csv,11149,131310,142458,0.008449008879720155,0.107,0.002,0.0068839387957064235,0.22369719257332496,0.05444434478428559
2025-05-19T19-57-32Z.csv,11280,142459,153738,0.00842854609929078,0.112,0.003,0.0070099697735627724,0.21524822695035462,0.05913120567375887
